Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId,LHP,LHH,RHP,RHH
2022,Jose Azocar,SDP,55,113,107,26,17,7,2,0,0,5,4,0,22,0,1,1,4,0,0,0.24299065,18821,1,0,0,1
2022,Leody Taveras,TEX,48,99,91,24,20,3,0,1,1,9,7,0,28,0,1,0,0,0,0,0.26373626,18900,1,0,0,1
2022,Will Smith,LAD,70,138,120,36,23,6,1,6,6,16,16,3,19,2,0,0,2,0,0,0.3,19197,1,0,0,1
2022,Yuli Gurriel,HOU,80,181,170,45,23,18,0,4,4,20,9,0,15,0,2,0,1,0,0,0.26470588,19198,1,0,0,1
2022,Lourdes Gurriel Jr.,TOR,51,94,90,25,17,8,0,0,0,8,4,0,19,0,0,0,1,0,0,0.27777778,19238,1,0,0,1
2022,Pete Alonso,NYM,85,176,146,36,21,6,0,9,9,25,26,7,35,2,2,0,4,0,0,0.24657534,19251,1,0,0,1
2022,Garrett Hampson,COL,37,84,71,21,13,5,3,0,0,7,11,0,21,0,1,1,2,0,0,0.29577465,19262,1,0,0,1
2022,Adolis Garcia,TEX,94,206,187,44,23,12,1,8,8,29,18,2,53,0,1,0,2,0,0,0.23529412,19287,1,0,0,1
2022,Randy Arozarena,TBR,63,129,120,38,22,9,1,6,6,21,9,2,25,0,0,0,0,0,0,0.31666667,19290,1,0,0,1
2022,Nick Senzel,CIN,57,123,112,27,22,4,0,1,1,10,6,0,21,2,0,1,5,0,0,0.24107143,19293,1,0,0,1
2022,Bryan Reynolds,PIT,82,171,154,42,30,5,0,7,7,18,15,2,38,2,0,0,3,0,0,0.27272727,19326,1,0,0,1
2022,Sean Murphy,OAK,75,162,132,32,16,8,1,7,7,21,24,1,30,4,2,0,4,0,0,0.24242424,19352,1,0,0,1
2022,Austin Hays,BAL,71,160,146,36,24,7,1,4,4,6,11,0,33,3,0,0,3,0,0,0.24657534,19363,1,0,0,1
2022,Cooper Hummel,ARI,39,84,74,11,7,0,3,1,1,5,8,0,23,1,1,0,1,0,0,0.14864865,19458,1,0,0,1
2022,Tommy Edman,STL,80,162,152,42,25,11,1,5,5,18,9,2,27,1,0,0,3,0,0,0.27631579,19470,1,0,0,1
2022,Chas McCormick,HOU,54,115,103,35,23,6,1,5,5,14,12,0,23,0,0,0,1,0,0,0.33980583,19599,1,0,0,1
2022,Bryan De La Cruz,MIA,52,96,87,16,14,0,0,2,2,8,8,0,31,0,0,0,4,0,0,0.18390805,19600,1,0,0,1
